,Title,Title_link
29,Strings & Character Arrays in C++ - Part 1 | DSA Placement Series,https://www.youtube.com/watch?v=MOSjYaVymcU&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=29&pp=iAQB
30,Valid Palindrome & Remove all Occurrences | Strings Part 2 | DSA Placement Series,https://www.youtube.com/watch?v=dSRFgEs3a6A&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=30&pp=iAQB
31,Strings - Part 3 | Permutation in String | DSA Placement Series,https://www.youtube.com/watch?v=VXewy91P0S4&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=31&pp=iAQB
32,Strings - Part 4 | Reverse Words in String | DSA Placement Series,https://www.youtube.com/watch?v=RitppzIdMCo&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=32&pp=iAQB
33,String Compression problem - Lecture 32 | Leetcode 443,https://www.youtube.com/watch?v=cAB15h6-sWA&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=33&pp=iAQB
34,Maths for DSA - One Shot | Euclid's Algorithm | Sieve of Eratosthenes | Modular Arithmetics,https://www.youtube.com/watch?v=Y4KdgqV1IqA&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=34&pp=iAQB
35,2D Arrays in C++ | Part 1 | DSA Series by Shradha Ma'am,https://www.youtube.com/watch?v=lBL8327gq8I&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=35&pp=iAQB
36,Search a 2D Matrix - Variation I & II | 2D Arrays - Part 2 | DSA Series by Shradha Ma'am,https://www.youtube.com/watch?v=LEFFjgt5i6w&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=36&pp=iAQB
37,Spiral Matrix | 2D Arrays - Part 3 | Leetcode 54 | DSA Series by Shradha Ma'am,https://www.youtube.com/watch?v=XMpdvwUObho&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=37&pp=iAQB
38,Two Sum | Find Duplicate | Find Repeating & Missing Values | Hashing Problems,https://www.youtube.com/watch?v=0Fxc_jKj2vo&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=38&pp=iAQB
39,"3 Sum | Brute, Better & Optimized Approach with Codes | Leetcode 15",https://www.youtube.com/watch?v=K-RsltkN63w&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=39&pp=iAQB
40,4 Sum Problem | Optimal Approach | DSA Series by Shradha Ma'am,https://www.youtube.com/watch?v=X6sL8JTROLY&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=40&pp=iAQB
41,Subarray Sum Equals K | Brute-Better-Optimal approach,https://www.youtube.com/watch?v=KDH4mhFVvHw&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=41&pp=iAQB
42,Recursion Tutorial - Basics to Advanced | Part 1,https://www.youtube.com/watch?v=9OsMG4fI4OY&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=42&pp=iAQB
43,"Recursion Part 2 : Fibonacci numbers problem, Binary search problem, Find if array sorted problem",https://www.youtube.com/watch?v=4iT-GhvSKzc&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=43&pp=iAQB
44,Recursion Part 3 : Backtracking in Detail | Print all Subsets | Subsets II,https://www.youtube.com/watch?v=pNzljlzDCiI&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=44&pp=iAQB
45,Permutations of an Array/String | Recursion & Backtracking,https://www.youtube.com/watch?v=N4gJDGdhpLw&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=45&pp=iAQB
46,N-Queens Problem | using Backtracking | Leetcode Hard,https://www.youtube.com/watch?v=BdSJnIdR-4s&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=46&pp=iAQB
47,Sudoku Solver Problem | using Backtracking | Leetcode Hard,https://www.youtube.com/watch?v=70cP3qtJp-s&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=47&pp=iAQB
48,Rat in a Maze Problem | Backtracking,https://www.youtube.com/watch?v=D8Yze9CDDAw&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=48&pp=iAQB
49,Combination Sum Problem | Recursion & Backtracking,https://www.youtube.com/watch?v=jkgZw2WEaqA&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=49&pp=iAQB
50,Palindrome Partitioning Problem | Recursion & Backtracking,https://www.youtube.com/watch?v=aZ0B1eWkSVU&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=50&pp=iAQB
51,Merge Sort Algorithm | Recursion & Backtracking,https://www.youtube.com/watch?v=cQDtOBTy7_Y&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=51&pp=iAQB0gcJCdoKAYcqIYzv
52,One Major update & reaching 1000M views,https://www.youtube.com/watch?v=SBQfXK7q5K4&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=52&pp=iAQB
53,Quick Sort Algorithm - Lecture 51 of Complete DSA Placement Series,https://www.youtube.com/watch?v=8MNB0Mba_Dc&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=53&pp=iAQB
54,Count Inversions Problem | Brute and Optimal,https://www.youtube.com/watch?v=ynnWDBTdVi0&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=54&pp=iAQB0gcJCdoKAYcqIYzv
55,KNIGHTS TOUR Problem - Backtracking | Leetcode 2596,https://www.youtube.com/watch?v=Sp1jzttFVdE&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=55&pp=iAQB
